MemberID,TransactionID,TransactionDate,Amount,LastStoreVisited,,
M001,T001,10/12/2023,200,Gourmet Town,,
M001,T002,15/01/2024,150,Foodie Haven,,
M001,T003,20/06/2024,300,Bistro Bliss,,
M002,T004,20/12/2023,100,Culinary Cove,,
M002,T005,10/02/2024,300,Foodie Haven,,
M004,T006,15/03/2024,800,Bistro Bliss,,
M005,T007,15/11/2023,50,Gourmet Town,,
M005,T008,20/05/2024,500,Culinary Cove,,
M006,T009,5/06/2024,250,Foodie Haven,,
M006,T010,15/07/2024,50,Bistro Bliss,,
M007,T011,20/01/2024,400,Foodie Haven,,
M007,T012,10/05/2024,200,Bistro Bliss,,
M008,T013,15/02/2024,700,Culinary Cove,,
M009,T014,5/03/2024,300,Gourmet Town,,
M009,T015,20/04/2024,100,Foodie Haven,,
M010,T016,25/05/2024,600,Culinary Cove,,
